Date,US_S&P500,US_DowJones,US_NASDAQ,Europe_EuroStoxx50,UK_FTSE100,Japan_Nikkei225,HongKong_HangSeng,Egypt_EGX30
2015-01-02,2058.199951171875,17832.990234375,4726.81005859375,,6547.7998046875,,23721.30078125,
2015-01-05,2020.5799560546875,17501.650390625,4652.56982421875,3023.139892578125,6417.2001953125,17408.7109375,23721.3203125,
2015-01-06,2002.6099853515625,17371.640625,4592.740234375,,6366.5,16883.189453125,23485.41015625,
2015-01-07,2025.9000244140625,17584.51953125,4650.47021484375,3026.7900390625,6419.7998046875,16885.330078125,23681.259765625,
2015-01-08,2062.139892578125,17907.869140625,4736.18994140625,3135.080078125,6570.0,17167.099609375,23835.529296875,
2015-01-09,2044.81005859375,17737.369140625,4704.06982421875,3042.89990234375,6501.10009765625,17197.73046875,23919.94921875,
2015-01-12,2028.260009765625,17640.83984375,4664.7099609375,3084.179931640625,6501.39990234375,,24026.4609375,
2015-01-13,2023.030029296875,17613.6796875,4661.5,3133.860107421875,6542.2001953125,17087.7109375,24215.970703125,
2015-01-14,2011.27001953125,17427.08984375,4639.31982421875,3089.669921875,6388.5,16795.9609375,24112.599609375,
2015-01-15,1992.6700439453125,17320.7109375,4570.81982421875,3157.360107421875,6498.7998046875,17108.69921875,24350.91015625,
2015-01-16,2019.4200439453125,17511.5703125,4634.3798828125,3202.239990234375,6550.2998046875,16864.16015625,24103.51953125,
2015-01-19,,,,3220.89990234375,6585.5,17014.2890625,23738.490234375,
2015-01-20,2022.550048828125,17515.23046875,4654.85009765625,3244.919921875,6620.10009765625,17366.30078125,23951.16015625,
2015-01-21,2032.1199951171875,17554.279296875,4667.419921875,3269.72998046875,6728.0,17280.48046875,24352.580078125,
2015-01-22,2063.14990234375,17813.98046875,4750.39990234375,3322.64990234375,6796.60009765625,17329.01953125,24522.630859375,
2015-01-23,2051.820068359375,17672.599609375,4757.8798828125,3382.550048828125,6832.7998046875,17511.75,24850.44921875,
2015-01-26,2057.090087890625,17678.69921875,4771.759765625,3414.280029296875,6852.39990234375,17468.51953125,24909.900390625,
2015-01-27,2029.550048828125,17387.2109375,4681.5,3372.580078125,6811.60009765625,17768.30078125,24807.279296875,
2015-01-28,2002.1600341796875,17191.369140625,4637.990234375,3358.9599609375,6825.89990234375,17795.73046875,24861.810546875,
2015-01-29,2021.25,17416.849609375,4683.41015625,3371.830078125,6810.60009765625,17606.220703125,24595.849609375,
2015-01-30,1994.989990234375,17164.94921875,4635.240234375,3351.43994140625,6749.39990234375,17674.390625,24507.05078125,
2015-02-02,2020.8499755859375,17361.0390625,4676.68994140625,3370.110107421875,6782.60009765625,17558.0390625,24484.740234375,
2015-02-03,2050.030029296875,17666.400390625,4727.740234375,3414.179931640625,6871.7998046875,17335.849609375,24554.779296875,
2015-02-04,2041.510009765625,17673.01953125,4716.7001953125,3415.530029296875,6860.0,17678.740234375,24679.759765625,
2015-02-05,2062.52001953125,17884.880859375,4765.10009765625,3408.9599609375,6865.89990234375,17504.619140625,24765.490234375,
2015-02-06,2055.469970703125,17824.2890625,4744.39990234375,3398.159912109375,6853.39990234375,17648.5,24679.390625,
2015-02-09,2046.739990234375,17729.2109375,4726.009765625,3347.75,6837.2001953125,17711.9296875,24521.0,
2015-02-10,2068.590087890625,17868.759765625,4787.64013671875,3383.1298828125,6829.10009765625,17652.6796875,24528.099609375,
2015-02-11,2068.530029296875,17862.140625,4801.18017578125,3374.139892578125,6818.2001953125,,24315.01953125,
2015-02-12,2088.47998046875,17972.380859375,4857.60986328125,3417.610107421875,6828.10009765625,17979.720703125,24422.150390625,
2015-02-13,2096.989990234375,18019.349609375,4893.83984375,3447.590087890625,6873.5,17913.359375,24682.5390625,
2015-02-16,,,,3433.300048828125,6857.10009765625,18004.76953125,24726.529296875,
2015-02-17,2100.340087890625,18047.580078125,4899.27001953125,3438.43994140625,6898.10009765625,17987.08984375,24784.880859375,
2015-02-18,2099.679931640625,18029.849609375,4906.35986328125,3465.800048828125,6898.10009765625,18199.169921875,24832.080078125,
2015-02-19,2097.449951171875,17985.76953125,4924.7001953125,3488.080078125,6888.89990234375,18264.7890625,,
2015-02-20,2110.300048828125,18140.439453125,4955.97021484375,3490.530029296875,6915.2001953125,18332.30078125,,
2015-02-23,2109.659912109375,18116.83984375,4960.97021484375,3519.580078125,6912.2001953125,18466.919921875,24836.759765625,
2015-02-24,2115.47998046875,18209.189453125,4968.1201171875,3547.10009765625,6949.60009765625,18603.48046875,24750.0703125,
2015-02-25,2113.860107421875,18224.5703125,4967.14013671875,3541.780029296875,6935.39990234375,18585.19921875,24778.279296875,
2015-02-26,2110.739990234375,18214.419921875,4987.89013671875,3574.93994140625,6949.7001953125,18785.7890625,24902.060546875,
2015-02-27,2104.5,18132.69921875,4963.52978515625,3599.0,6946.7001953125,18797.939453125,24823.2890625,
2015-03-02,2117.389892578125,18288.630859375,5008.10009765625,3591.090087890625,6940.60009765625,18826.880859375,24887.439453125,
2015-03-03,2107.780029296875,18203.369140625,4979.89990234375,3549.110107421875,6889.10009765625,18815.16015625,24702.779296875,
2015-03-04,2098.530029296875,18096.900390625,4967.14013671875,3583.43994140625,6919.2001953125,18703.599609375,24465.380859375,
2015-03-05,2101.0400390625,18135.720703125,4982.81005859375,3618.2099609375,6961.10009765625,18751.83984375,24193.0390625,
2015-03-06,2071.260009765625,17856.779296875,4927.3701171875,3617.6201171875,6911.7998046875,18971.0,24164.0,
2015-03-09,2079.429931640625,17995.720703125,4942.43994140625,3610.280029296875,6876.5,18790.55078125,24123.05078125,
2015-03-10,2044.1600341796875,17662.939453125,4859.7900390625,3567.25,6702.7998046875,18665.109375,23896.98046875,
2015-03-11,2040.239990234375,17635.390625,4849.93994140625,3649.5400390625,6721.5,18723.51953125,23717.970703125,
2015-03-12,2065.949951171875,17895.220703125,4893.2900390625,3641.320068359375,6761.10009765625,18991.109375,23797.9609375,
2015-03-13,2053.39990234375,17749.310546875,4871.759765625,3656.2099609375,6740.60009765625,19254.25,23823.2109375,
2015-03-16,2081.18994140625,17977.419921875,4929.509765625,3706.75,6804.10009765625,19246.060546875,23949.55078125,
2015-03-17,2074.280029296875,17849.080078125,4937.43017578125,3672.159912109375,6837.60009765625,19437.0,23901.490234375,
2015-03-18,2099.5,18076.189453125,4982.830078125,3668.52001953125,6945.2001953125,19544.48046875,24120.080078125,
2015-03-19,2089.27001953125,17959.029296875,4992.3798828125,3670.72998046875,6962.2998046875,19476.560546875,24468.890625,
2015-03-20,2108.10009765625,18127.650390625,5026.419921875,3726.070068359375,7022.5,19560.220703125,24375.240234375,
2015-03-23,2104.419921875,18116.0390625,5010.97021484375,3699.0400390625,7037.7001953125,19754.359375,24494.509765625,
2015-03-24,2091.5,18011.140625,4994.72998046875,3731.35009765625,7019.7001953125,19713.44921875,24399.599609375,
2015-03-25,2061.050048828125,17718.5390625,4876.52001953125,3684.0400390625,6991.0,19746.19921875,24528.23046875,
2015-03-26,2056.14990234375,17678.23046875,4863.35986328125,3669.7900390625,6895.2998046875,19471.119140625,24497.080078125,
2015-03-27,2061.02001953125,17712.66015625,4891.22021484375,3679.030029296875,6855.0,19285.630859375,24486.19921875,
2015-03-30,2086.239990234375,17976.310546875,4947.43994140625,3727.800048828125,6891.39990234375,19411.400390625,24855.119140625,
2015-03-31,2067.889892578125,17776.119140625,4900.8798828125,3697.3798828125,6773.0,19206.990234375,24900.890625,
2015-04-01,2059.68994140625,17698.1796875,4880.22998046875,3714.889892578125,6809.5,19034.83984375,25082.75,
2015-04-02,2066.9599609375,17763.240234375,4886.93994140625,3715.27001953125,6833.5,19312.7890625,25275.640625,
2015-04-03,,,,,,19435.080078125,,
2015-04-06,2080.6201171875,17880.849609375,4917.31982421875,,,19397.98046875,,
2015-04-07,2076.330078125,17875.419921875,4910.22998046875,3768.719970703125,6961.7998046875,19640.5390625,,
2015-04-08,2081.89990234375,17902.509765625,4950.81982421875,3742.6298828125,6937.39990234375,19789.810546875,26236.859375,
