Date,USD_Open,USD_Close,Gold_Open_USD,Gold_Close_USD,Gold_High_USD,Gold_Low_USD,Volume,Open_EGP_Ounce,Close_EGP_Ounce,High_EGP_Ounce,Low_EGP_Ounce,Open_EGP,Close_EGP,High_EGP,Low_EGP,Daily_Range,Return,MA_7,MA_21,MA_50,EMA_21,Volatility_21,RSI_14
2015-01-02,7.135300159454346,7.135200023651123,1184.0,1186.0,1194.5,1169.5,138,8448.195388793945,8462.347228050232,8522.996428251266,8344.616427659988,271.61558631002765,272.0705781680593,274.0204937788759,268.2854478647094,5.7350459141665056,0.002560625406023753,271.86226348980006,274.7984842205834,273.28607488864424,273.4613524796356,0.011252363216990014,34.30770409271227
2015-01-05,7.164299964904785,7.168900012969971,1180.300048828125,1203.9000244140625,1206.9000244140625,1180.0999755859375,470,8456.023598396452,8630.63890063652,8652.14560067543,8460.01873028389,271.8672689053146,277.48127704716575,278.17273299388916,271.99571528232804,6.1770177115611204,0.019887115010886136,272.9320499855236,274.8233001924097,273.1300348777759,273.82680016759286,0.011994116530500172,45.68698918059798
2015-01-06,7.11899995803833,7.118899822235107,1203.5,1219.300048828125,1220.0,1203.5,97,8567.71644949913,8680.074900853797,8685.057783126831,8567.595936059952,275.4582747761226,279.0706801759865,279.23088344163295,275.45440018197155,3.776483259661404,0.005727965308991223,274.3697373682361,274.93545479695774,273.0768620569842,274.3035165319923,0.012052057782707104,54.116510355735855
2015-01-07,7.1296000480651855,7.128900051116943,1219.199951171875,1210.5999755859375,1219.199951171875,1210.5999755859375,29,8692.408030476072,8630.24622783676,8691.554594230955,8630.24622783676,279.4671992051078,277.468652332913,279.439760613145,277.468652332913,1.971108280231988,-0.005740580995693523,274.8838746143111,275.1613837545775,272.9817197157517,274.5912561502578,0.011657953558284301,56.384792533849705
2015-01-08,7.136000156402588,7.135300159454346,1207.0,1208.4000244140625,1215.699951171875,1206.300048828125,92,8613.152188777924,8622.296886886295,8674.38405544532,8607.312930753105,276.91906662523263,277.2130752772612,278.8877153839703,276.7313302603599,2.1563851236103915,-0.000921102450683775,275.68290875916506,275.33024919322105,272.97866159856716,274.8296033436217,0.01164881872456476,56.08611071845885
2015-01-09,7.123600006103516,7.122799873352051,1211.0999755859375,1216.0,1220.199951171875,1210.300048828125,43,8627.391793475952,8661.324645996094,8691.24005767121,8620.72503451095,277.37688020563445,278.4678459336118,279.429648035469,277.162539087593,2.267108947875954,0.004526376164239565,276.16397080359155,275.1408599369386,272.91259311135144,275.16035266998443,0.009237694143906005,57.622975495783955
2015-01-12,7.113399982452393,7.112199783325195,1224.199951171875,1232.699951171875,1234.4000244140625,1219.0999755859375,100,8708.223911184235,8767.208325629588,8779.299586174311,8670.482582214056,279.9756911982328,281.87208274405094,282.2608255075574,278.7622802004294,3.4985453071279835,0.01222488290892576,277.66345595414975,275.1431021865965,272.9369163064247,275.770509949445,0.009642945905704843,61.6504632310995
2015-01-13,7.126399993896484,7.126699924468994,1239.199951171875,1234.300048828125,1239.300048828125,1230.300048828125,20,8831.034524467774,8796.486064755474,8832.11956437782,8767.979265057598,283.9241411567114,282.8133832126762,283.95902597385566,281.89686900373266,2.0621569701229987,0.0033394597274820637,279.19814238909504,275.24329529747763,273.0967965494487,276.4107711551933,0.00962266035042539,69.75482688134073
2015-01-14,7.125699996948242,7.1255998611450195,1229.5999755859375,1234.4000244140625,1243.800048828125,1225.5999755859375,21,8761.760542280274,8795.840642562252,8862.821455221856,8733.135015854496,281.69693257287037,282.7926324227901,284.9461139492937,280.7766012138343,4.169512735459421,-7.337272957286256e-05,279.95690744275566,275.36266708926416,273.38426818299985,276.99094036133846,0.009613521204208839,70.99884257374924
2015-01-15,7.126500129699707,7.126299858093262,1231.5,1264.699951171875,1265.0,1227.300048828125,130,8776.28490972519,9012.631082566688,9014.769320487976,8746.10816380172,282.16390148135065,289.76260171899264,289.83134761322606,281.193697294572,8.637650318654039,0.02464692674801383,281.4843248060423,275.99093126447724,273.8592361417524,278.1520004847616,0.010430998513857084,78.46245129887966
2015-01-16,7.127299785614014,7.126999855041504,1256.0999755859375,1276.9000244140625,1279.699951171875,1256.0999755859375,44,8952.60108670342,9100.466288901516,9120.421366498573,8952.224343918613,287.8325939750645,292.5865670712787,293.22813723531345,287.8204814223034,5.407655813010081,0.009745789606847577,283.6440269115231,276.88816452711137,274.36104878928535,279.4642338108086,0.010141756903375711,77.18678326989885
